NUTS YYYY MM 0 BAREA
DE424 2006 05 4 3.19804
DE424 2006 06 4 0.276527
DE424 2006 07 4 6.28045
DE424 2006 08 3 1.4451
DE424 2006 09 3 0.155371
BG311 2007 01 3 65.8331
BG311 2007 02 3 9.78246
BG311 2007 04 2 44.4997
BG311 2007 06 2 30.5861
BG311 2007 07 2 5534.21
BG312 2007 01 3 114.535
BG312 2007 02 3 17.3247
BG312 2007 03 3 322.063
BG312 2007 04 3 521.189
BG312 2007 05 3 4.13178
BG312 2007 06 2 5.94132
BG312 2007 07 2 1117.64
BG313 2007 01 2 205.374
BG313 2007 02 2 103.186
BG313 2007 03 2 394.699
BG313 2007 04 5 36.6292
BG313 2007 05 3 7.68499
BG313 2007 07 3 267.507
BG313 2007 08 2 8.23134
BG314 2007 03 2 31.1266
BG314 2007 05 3 49.9327
BG314 2007 06 2 5.50835
BG314 2007 07 2 1243.67
BG314 2007 08 2 70.1061
BG315 2007 01 3 97.1538
BG315 2007 02 3 72.1268
BG315 2007 03 3 1825.58
BG315 2007 04 3 709.847
BG315 2007 05 4 37.3087
BG315 2007 07 4 2595.44
BG321 2007 01 2 34.6964
BG321 2007 02 2 15.8478
BG321 2007 03 2 128.72
BG321 2007 04 2 44.5743
BG321 2007 05 4 36.5963
BG321 2007 06 3 0.207622
BG321 2007 07 3 736.828
BG321 2007 08 3 16.4847
BG322 2007 01 2 25.6421
BG322 2007 02 3 2.47755
BG322 2007 03 3 23.3933
BG322 2007 04 3 61.2729
BG322 2007 07 3 1142.19
BG322 2007 08 3 0.195825
BG323 2007 04 5 2.25699
